Date,Year,Month,Month_Name,Min Temperature(°C),Max Temperature(°C),Average Temperature(°C),Precipitation(mm),Wind(km/h),Relative Humidity,Solar(W/m²)
1979-04-20,1979,4,April,11.672,26.651,19.162,0.0,2.27,0.68,26.639
1979-04-21,1979,4,April,10.397,26.728,18.562,0.0,2.438,0.669,26.423
1979-04-22,1979,4,April,11.098,26.516,18.807,0.0,2.614,0.686,26.013
1979-04-23,1979,4,April,10.989,26.178,18.584,0.0,2.362,0.733,26.119
1979-04-24,1979,4,April,9.137,26.16,17.648,0.0,2.184,0.696,26.193
1979-04-25,1979,4,April,9.517,27.239,18.378,0.0,2.044,0.674,25.874
1979-04-26,1979,4,April,10.366,27.657,19.011,0.0,2.076,0.632,26.31
1979-04-27,1979,4,April,9.803,28.315,19.059,0.0,1.984,0.599,26.002
1979-04-28,1979,4,April,11.686,28.365,20.026,0.0,2.188,0.581,25.819
1979-04-29,1979,4,April,13.507,28.141,20.824,0.0,2.562,0.586,25.28
1979-04-30,1979,4,April,11.872,27.068,19.47,0.0,2.353,0.618,25.145
1979-05-01,1979,5,May,12.53,27.569,20.05,0.0,2.432,0.608,24.456
1979-05-02,1979,5,May,12.447,27.131,19.789,0.0,2.463,0.654,20.885
1979-05-03,1979,5,May,13.329,27.393,20.361,0.0,2.39,0.665,22.836
1979-05-04,1979,5,May,12.377,27.143,19.76,0.0,2.252,0.577,25.084
1979-05-05,1979,5,May,11.99,28.775,20.382,0.0,2.18,0.639,19.069
1979-05-06,1979,5,May,13.803,26.428,20.116,0.0,2.352,0.719,18.282
1979-05-07,1979,5,May,12.389,25.254,18.822,0.0,2.44,0.7,20.676
1979-05-08,1979,5,May,16.152,26.411,21.282,0.0,3.418,0.551,24.387
1979-05-09,1979,5,May,11.792,24.416,18.104,0.0,3.616,0.591,24.651
1979-05-10,1979,5,May,10.071,23.411,16.741,0.0,3.82,0.625,24.52
1979-05-11,1979,5,May,8.39,23.008,15.699,0.0,3.321,0.654,24.676
1979-05-12,1979,5,May,6.089,22.686,14.388,0.0,2.896,0.664,24.56
1979-05-13,1979,5,May,6.845,22.879,14.862,0.0,2.865,0.663,24.591
1979-05-14,1979,5,May,7.428,23.845,15.636,0.0,2.874,0.662,24.228
1979-05-15,1979,5,May,7.699,24.232,15.966,0.0,3.143,0.638,24.113
1979-05-16,1979,5,May,8.754,23.395,16.075,0.0,3.677,0.648,24.09
1979-05-17,1979,5,May,7.983,23.974,15.978,0.0,3.172,0.645,24.003
1979-05-18,1979,5,May,9.305,25.329,17.317,0.0,2.768,0.674,23.755
1979-05-19,1979,5,May,8.921,25.128,17.024,0.0,2.36,0.682,23.506
1979-05-20,1979,5,May,8.913,26.23,17.572,0.0,2.232,0.651,23.497
1979-05-21,1979,5,May,9.869,26.286,18.078,0.0,2.465,0.654,23.441
1979-05-22,1979,5,May,10.124,26.827,18.476,0.0,2.521,0.657,22.315
1979-05-23,1979,5,May,11.764,27.524,19.644,0.0,2.647,0.631,22.696
1979-05-24,1979,5,May,13.266,27.368,20.317,0.0,3.223,0.611,23.066
